Timeratio,evadiff
0.001960784,0.09
0.001669449,0.5
0.001754386,0.09
0,0.86
0,1.73
0,0.01
0,0
0,0
0,59.85
0,12.84
0,0
0,0
0,0
0.001703578,1.07
0.00173913,13.79
0.001855288,2.23
0,0.46
0,0.06
0,0.1
0.0025,0.34
0,54.81
0.001855288,2.35
0,0.01
0.001675042,0.08
0.001788909,0.05
0,0.14
0.001686341,0.09
0.001718213,0.06
0.00170068,0.3
0.001890359,2.85
0.002227171,2.51
0,0
0.001805054,0.04
0,0.08
0,0
0,0
0,0
0,0
0.001692047,0.49
0,0.04
0,0
0.001669449,0.05
0.001730104,1.85
0.001669449,0.19
0,0
0.00173913,0
0.00174216,0.12
0.001745201,0.09
0,0.12
0,0
0,0
0,0
0.001736111,4.94
0,0.08
0.001996008,0.79
0,1.3
0.002155172,0
0.002380952,47.27
0,0
0,0
0.001669449,0.05
0,0.02
0,0.02
0,0.28
0,3.13
0,43.49
0,1.97
0,1.15
0,0
0,0
0,0.04
0.001706485,0
0,0
0,0.52
0.001855288,0.01
0.00204499,0.48
0,0.02
0,2.84
0,0.2
0,0.14
0,0.09
0,0
0,0
0,0.09
0,0
0,0.15
0.001669449,0.3
0.001672241,0.48
0,0.12
0.001692047,0.05
0.001862197,0.12
0.001675042,0.19
0,0.1
0.001677852,0.66
0.001712329,0.24
0.001703578,0.24
0,0.14
0.001736111,4.61
0.001706485,0.05
0,0.06
0.001724138,0.76
0,0.01
0.001841621,0
0.001968504,0
0.001680672,0
0.00172117,0.09
0.001736111,0.95
0,0
0.001669449,0.05
0.001669449,0.04
0.001745201,0.08
0,0.26
0,1.19
0.001686341,0
0.001879699,0.04
0,0.3
0.001669449,0.66
0,0.38
0.001672241,0.56
0.001669449,0
0,0.87
0,0.34
0,0.08
0,0
0,0
0,0.19
0,0
0,0.33
0,0.19
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.001669449,0.01
0.001677852,0.16
0.002074689,0.26
0.002364066,0.07
0.001669449,0.05
0.001697793,0.17
0.001715266,0
0.001811594,0.03
0.001934236,0.24
0,0.75
0.001680672,0.16
0,0.03
0,1.1
0.001683502,1.01
0.001686341,0.18
0.001689189,3.24
0.001697793,3.43
0.001760563,1.36
0,0.07
0.001766784,0
0,0
0.001949318,0
0.001805054,1.63
0.002183406,0
0,0.02
0.001883239,0.2
0.001945525,0
0.002188184,0
0.001949318,0
0.001677852,0.1
0.001811594,0.22
0.002188184,0.58
0.001669449,0.04
0,1.09
0.001814882,12.61
0.001862197,0
0.001795332,2.05
0.001872659,1.58
0.002024291,0.52
0.002192982,3.06
0.002283105,0.92
0,0
0.002439024,0
0.00170068,0.03
0.001694915,0.31
0.001697793,0.25
0,4.18
0,0.27
0,0.46
0,0
0.001730104,0.12
0.001923077,0.9
0.00210084,0.1
0.002155172,0.1
0.002314815,0.23
0.002403846,0.01
0,0.05
0,0.96
0,0.25
0,0.32
0,0.03
0.001776199,0.03
0,0
0.001703578,0.19
0.00170068,0
0,0.16
0.002283105,1.12
0,0.13
0.001801802,0.15
0.001908397,1.88
0.001968504,0.04
0.001669449,0.05
0.001945525,0.13
0.001669449,0.01
0.001675042,0.41
0.001689189,0.67
0.001736111,0.02
0,0.32
0.001675042,0.16
0,0.01
0.001792115,0.19
0,0
0,0
0,0
0.00228833,0
0.002074689,0
0.001686341,0.36
0.001689189,0.24
0.001692047,0.31
0.001694915,0.09
0.001669449,0.05
0.001672241,0.01
0.001715266,8.27
0.001779359,0.18
0,4.38
0.002016129,0.07
0.002314815,0
0.001675042,0.01
0.001945525,2.23
0.001669449,0.05
0.001677852,0.31
0.001680672,0.25
0.001776199,2.14
0.002053388,1.19
0,0
0,0
0.001675042,0.51
0.001686341,0.17
0.001689189,0.13
0.001824818,0.2
0.001941748,0.03
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.15
0.001694915,0.43
0.002283105,2.91
0.002298851,1.52
0.002487562,4.92
0.002493766,0
0.001669449,0.05
0.001706485,0.09
0.001851852,0.96
0.001669449,0.26
0,3.48
0.00170068,0.15
0.001821494,2.4
0,0.49
0.001669449,0.52
0.001715266,0.04
0,3.72
0.001669449,0.12
0.001968504,0.39
0.001669449,0.37
0.001677852,0.08
0.001680672,0.11
0.001697793,0.11
0.001988072,0
0.001675042,0.44
0.001876173,2.53
0.001686341,0.7
0.001706485,0.23
0.001886792,0.26
0.001956947,0.13
0,0.31
0.001686341,0.17
0.001712329,0.03
0.00170068,0.01
0.001703578,0.67
0.001706485,1.81
0.001709402,0.38
0,0
0,0
0,0
0,0.12
0,0.02
0,0.16
0.001669449,0.45
0.001834862,0.28
0,0
0.001949318,0.02
0.001677852,0.31
0.001757469,0.14
0,0.31
0,0.27
0,0.13
0.001669449,0.59
0.001694915,0.09
0.001677852,0.07
0.001680672,0.1
0.00170068,0.03
0,0.14
0.001718213,0.13
0.001862197,0.03
0.00173913,0.17
0,0.1
0,0
0,0
0,0
0,0
0.001669449,0.16
0.001715266,0.05
0.002,6.65
0.001669449,0.33
0,0.12
0.001792115,0.18
0.001988072,0.09
0.002053388,0.12
0.002237136,0.06
0.00212766,0.05
0.002136752,0.07
0.002192982,0
0.001745201,0.09
0.001669449,1.06
0.001845018,5.6
0.001669449,0.1
0.001730104,0.02
0.001751313,0.5
0.001669449,0
0.001672241,0.15
0,0.14
0.001677852,0.04
0.001672241,0.03
0,0.12
0,0.28
0.001677852,0.02
0.001680672,0.26
0,0.17
0.001715266,1.81
0,0.54
0.002293578,0.36
0,1.73
0.001988072,0.04
0.001766784,0.37
0,0.1
0.001675042,0.14
0.001680672,0.18
0,0.07
0,0.23
0,0.5
0,0.1
0.002487562,0.01
0.001669449,1.06
0.001672241,0.74
0,0.51
0,0
0,0.01
0.002105263,0.24
0.002409639,0.19
0.001669449,0.76
0.001677852,0.04
0,0.1
0,0.93
0,3.15
