Color,Timeratio,TimeInt,MoveNumber,eva,Termination,Piece
1,0.67264574,3,23,-7.02,0,Bishop
0,2.23325062,9,32,7.08,0,King
0,1.470588235,7,23,7.46,1,Bishop
0,0.507614213,3,4,8.71,0,Queen
0,5.208333333,20,29,0,1,Queen
0,0.913242009,2,16,9.72,0,Knight
1,4.761904762,1,48,10.56,1,King
1,2.763819095,11,26,1.15,0,King
1,15.13513514,28,19,10.05,0,Pawn
0,0.586510264,2,34,19.42,0,Pawn
0,3.804347826,7,44,7.37,0,Pawn
0,2.493074792,9,27,14.69,0,Bishop
1,1.7208413,9,21,7.51,0,Queen
1,15.38461538,2,55,0,0,King
0,1.336302895,6,16,8.53,0,Queen
0,2.727272727,3,45,0,0,Queen
0,0.25,1,34,-9.8,0,Pawn
0,14.28571429,7,39,-11.03,1,King
1,0.821355236,4,25,-9.86,0,Bishop
1,0.411522634,2,27,-13.82,0,Bishop
0,28.57142857,2,41,-7.43,1,King
0,0.395256917,2,16,14.84,0,Queen
1,5.172413793,21,21,-8.49,1,Queen
1,1.052631579,2,35,14.08,0,Knight
0,5.882352941,2,32,4.79,0,Knight
0,1.75879397,7,23,-11.72,0,King
1,0.571428571,2,44,-71.62,0,Pawn
0,0.294985251,1,39,-7.36,1,King
1,26.64233577,73,31,-8.16,1,Pawn
1,2.709359606,11,34,0.29,0,Queen
1,1.265822785,3,44,6.45,0,King
1,0.184842884,1,13,-8.52,0,Knight
0,0.273972603,1,26,-12.26,0,Rook
0,0.367647059,2,18,20.07,0,Bishop
1,1.428571429,6,18,-22.41,1,Queen
1,4.694835681,10,38,-9.7,0,Rook
1,1.941747573,8,23,-9.07,0,Pawn
1,7.04845815,16,26,-10.21,0,Knight
1,5.434782609,20,20,-5,0,Queen
0,1.70212766,8,14,-11.83,0,Knight
1,0.257731959,1,38,0,0,Rook
1,0.913242009,4,24,-6.99,0,Pawn
0,0.555555556,2,61,73.09,0,Queen
0,1.70575693,8,19,-21.28,0,Knight
1,2.240896359,8,19,-13.03,0,Knight
1,3.03030303,2,57,-6.83,1,Rook
0,2.857142857,2,51,13.93,0,Bishop
1,1.169590643,2,34,-7.25,0,Knight
1,0.473933649,1,59,57.81,0,King
1,1.075268817,3,38,-9.38,0,Pawn
0,2.247191011,2,48,8.75,0,Queen
1,7.493540052,29,16,-7.76,0,Bishop
0,6.050955414,19,23,15.83,0,Queen
1,4.333333333,13,26,-9.82,0,Rook
1,0.881057269,4,31,8.03,0,Pawn
0,1.282051282,1,60,76.04,0,King
1,4.918032787,12,33,-6.07,0,Queen
0,0.859598854,3,31,8.69,0,Knight
1,6.683168317,27,28,7.03,0,Knight
0,3.105590062,10,44,14.31,0,Bishop
1,0.389105058,1,63,0,0,King
1,1.566579634,6,19,-8.61,0,Queen
1,1.086956522,5,22,-11.84,0,Queen
1,0.416666667,2,23,8.08,0,King
0,1.229508197,3,43,-13.39,0,Rook
1,11.11111111,10,41,-5.86,1,Rook
1,0.336700337,1,33,-2.39,0,King
